Loading mesh: mug.obj
7205 339 339
7212 346 346
7211 345 345
149 292 292
2193 290 290
7164 298 298
4140 347 347
2193 290 290
2192 289 289
7165 299 299
7164 298 298
2192 289 289
2191 288 288
7166 302 302
7165 299 299
2191 288 288
2190 287 287
7167 304 304
7166 302 302
2190 287 287
2189 286 286
7168 306 306
7167 304 304
2189 286 286
2188 285 285
7169 308 308
7168 306 306
2188 285 285
2187 284 284
7170 310 310
7169 308 308
2187 284 284
10 283 283
583 348 348
7170 310 310
7170 310 310
583 348 348
582 349 349
7177 311 311
7177 311 311
582 349 349
581 350 350
7184 318 318
7184 318 318
581 350 350
580 351 351
7191 325 325
7191 325 325
580 351 351
579 352 352
7198 332 332
7198 332 332
579 352 352
578 353 353
7205 339 339
7205 339 339
578 353 353
577 354 354
7212 346 346
7212 346 346
577 354 354
12 355 355
2222 356 356
7211 345 345
7212 346 346
2222 356 356
2223 357 357
7210 344 344
7211 345 345
2223 357 357
2224 358 358
7209 343 343
7210 344 344
2224 358 358
2225 359 359
7208 342 342
7209 343 343
2225 359 359
2226 360 360
7207 340 340
7208 342 342
2226 360 360
2227 361 361
7206 341 341
7207 340 340
2227 361 361
2228 362 362
4146 363 363
7206 341 341
2228 362 362
154 364 364
4145 365 365
7199 334 334
7206 341 341
4146 363 363
4144 366 366
7192 327 327
7199 334 334
4145 365 365
4143 367 367
7185 320 320
7192 327 327
4144 366 366
4142 368 368
7178 313 313
7185 320 320
4143 367 367
4141 369 369
7171 301 301
7178 313 313
4142 368 368
4140 347 347
7164 298 298
7171 301 301
4141 369 369
7213 370 370
7214 371 371
7221 372 372
7220 373 373
7214 371 371
7215 374 374
7222 375 375
7221 372 372
7215 374 374
7216 376 376
7223 377 377
7222 375 375
7216 376 376
7217 378 378
7224 379 379
7223 377 377
7217 378 378
7218 380 380
7225 381 381
7224 379 379
7218 380 380
7219 382 382
7226 383 383
7225 381 381
7220 373 373
7221 372 372
7228 384 384
7227 385 385
7221 372 372
7222 375 375
7229 386 386
7228 384 384
7222 375 375
7223 377 377
7230 387 387
7229 386 386
7223 377 377
7224 379 379
7231 388 388
7230 387 387
7224 379 379
7225 381 381
7232 389 389
7231 388 388
7225 381 381
7226 383 383
7233 390 390
7232 389 389
7227 385 385
7228 384 384
7235 391 391
7234 392 392
7228 384 384
7229 386 386
7236 393 393
7235 391 391
7229 386 386
7230 387 387
7237 394 394
7236 393 393
7230 387 387
7231 388 388
7238 395 395
7237 394 394
7231 388 388
7232 389 389
7239 396 396
7238 395 395
7232 389 389
7233 390 390
7240 397 397
7239 396 396
7234 392 392
7235 391 391
7242 398 398
7241 399 399
7235 391 391
7236 393 393
7243 400 400
7242 398 398
7236 393 393
7237 394 394
7244 401 401
7243 400 400
7237 394 394
7238 395 395
7245 402 402
7244 401 401
7238 395 395
7239 396 396
7246 403 403
7245 402 402
7239 396 396
7240 397 397
7247 404 404
7246 403 403
7241 399 399
7242 398 398
7249 405 405
7248 406 406
7242 398 398
7243 400 400
7250 407 407
7249 405 405
7243 400 400
7244 401 401
7251 408 408
7250 407 407
7244 401 401
7245 402 402
7252 409 409
7251 408 408
7245 402 402
7246 403 403
7253 410 410
7252 409 409
7246 403 403
7247 404 404
7254 411 411
7253 410 410
7248 406 406
7249 405 405
7256 412 412
7255 413 413
7249 405 405
7250 407 407
7257 414 414
7256 412 412
7250 407 407
7251 408 408
7258 415 415
7257 414 414
7251 408 408
7252 409 409
7259 416 416
7258 415 415
7252 409 409
7253 410 410
7260 417 417
7259 416 416
7253 410 410
7254 411 411
7261 418 418
7260 417 417
154 364 364
2228 362 362
7213 370 370
4105 419 419
2228 362 362
2227 361 361
7214 371 371
7213 370 370
2227 361 361
2226 360 360
7215 374 374
7214 371 371
2226 360 360
2225 359 359
7216 376 376
7215 374 374
2225 359 359
2224 358 358
7217 378 378
7216 376 376
2224 358 358
2223 357 357
7218 380 380
7217 378 378
2223 357 357
2222 356 356
7219 382 382
7218 380 380
2222 356 356
12 355 355
604 420 420
7219 382 382
7219 382 382
604 420 420
603 421 421
7226 383 383
7226 383 383
603 421 421
602 422 422
7233 390 390
7233 390 390
602 422 422
601 423 423
7240 397 397
7240 397 397
601 423 423
600 424 424
7247 404 404
7247 404 404
600 424 424
599 425 425
7254 411 411
7254 411 411
599 425 425
598 426 426
7261 418 418
7261 418 418
598 426 426
14 427 427
2257 428 428
7260 417 417
7261 418 418
2257 428 428
2258 429 429
7259 416 416
7260 417 417
2258 429 429
2259 430 430
7258 415 415
7259 416 416
2259 430 430
2260 431 431
7257 414 414
7258 415 415
2260 431 431
2261 432 432
7256 412 412
7257 414 414
2261 432 432
2262 433 433
7255 413 413
7256 412 412
2262 433 433
2263 434 434
4111 435 435
7255 413 413
2263 434 434
159 436 436
4110 437 437
7248 406 406
7255 413 413
4111 435 435
4109 438 438
7241 399 399
7248 406 406
4110 437 437
4108 439 439
7234 392 392
7241 399 399
4109 438 438
4107 440 440
7227 385 385
7234 392 392
4108 439 439
4106 441 441
7220 373 373
7227 385 385
4107 440 440
4105 419 419
7213 370 370
7220 373 373
4106 441 441
7262 442 442
7263 443 443
7270 444 444
7269 445 445
7263 443 443
7264 446 446
7271 447 447
7270 444 444
7264 446 446
7265 448 448
7272 449 449
7271 447 447
7265 448 448
7266 450 450
7273 451 451
7272 449 449
7266 450 450
7267 452 452
7274 453 453
7273 451 451
7267 452 452
7268 454 454
7275 455 455
7274 453 453
7269 445 445
7270 444 444
7277 456 456
7276 457 457
7270 444 444
7271 447 447
7278 458 458
7277 456 456
7271 447 447
7272 449 449
7279 459 459
7278 458 458
7272 449 449
7273 451 451
7280 460 460
7279 459 459
7273 451 451
7274 453 453
7281 461 461
7280 460 460
7274 453 453
7275 455 455
7282 462 462
7281 461 461
7276 457 457
7277 456 456
7284 463 463
7283 464 464
7277 456 456
7278 458 458
7285 465 465
7284 463 463
7278 458 458
7279 459 459
7286 466 466
7285 465 465
7279 459 459
7280 460 460
7287 467 467
7286 466 466
7280 460 460
7281 461 461
7288 468 468
7287 467 467
7281 461 461
7282 462 462
7289 469 469
7288 468 468
7283 464 464
7284 463 463
7291 470 470
7290 471 471
7284 463 463
7285 465 465
7292 472 472
7291 470 470
7285 465 465
7286 466 466
7293 473 473
7292 472 472
7286 466 466
7287 467 467
7294 474 474
7293 473 473
7287 467 467
7288 468 468
7295 475 475
7294 474 474
7288 468 468
7289 469 469
7296 476 476
7295 475 475
7290 471 471
7291 470 470
7298 477 477
7297 478 478
7291 470 470
7292 472 472
7299 479 479
7298 477 477
7292 472 472
7293 473 473
7300 480 480
7299 479 479
7293 473 473
7294 474 474
7301 481 481
7300 480 480
7294 474 474
7295 475 475
7302 482 482
7301 481 481
7295 475 475
7296 476 476
7303 483 483
7302 482 482
7297 478 478
7298 477 477
7305 484 484
7304 485 485
7298 477 477
7299 479 479
7306 486 486
7305 484 484
7299 479 479
7300 480 480
7307 487 487
7306 486 486
7300 480 480
7301 481 481
7308 488 488
7307 487 487
7301 481 481
7302 482 482
7309 489 489
7308 488 488
7302 482 482
7303 483 483
7310 490 490
7309 489 489
159 436 436
2263 434 434
7262 442 442
4070 491 491
2263 434 434
2262 433 433
7263 443 443
7262 442 442
2262 433 433
2261 432 432
7264 446 446
7263 443 443
2261 432 432
2260 431 431
7265 448 448
7264 446 446
2260 431 431
2259 430 430
7266 450 450
7265 448 448
2259 430 430
2258 429 429
7267 452 452
7266 450 450
2258 429 429
2257 428 428
7268 454 454
7267 452 452
2257 428 428
14 427 427
625 492 492
7268 454 454
7268 454 454
625 492 492
624 493 493
7275 455 455
7275 455 455
624 493 493
623 494 494
7282 462 462
7282 462 462
623 494 494
622 495 495
7289 469 469
7289 469 469
622 495 495
621 496 496
7296 476 476
7296 476 476
621 496 496
620 497 497
7303 483 483
7303 483 483
620 497 497
619 498 498
7310 490 490
7310 490 490
619 498 498
16 499 499
2292 500 500
7309 489 489
7310 490 490
2292 500 500
2293 501 501
7308 488 488
7309 489 489
2293 501 501
2294 502 502
7307 487 487
7308 488 488
2294 502 502
2295 503 503
7306 486 486
7307 487 487
2295 503 503
2296 504 504
7305 484 484
7306 486 486
2296 504 504
2297 505 505
7304 485 485
7305 484 484
2297 505 505
2298 506 506
4076 507 507
7304 485 485
2298 506 506
164 508 508
4075 509 509
7297 478 478
7304 485 485
4076 507 507
4074 510 510
7290 471 471
7297 478 478
4075 509 509
4073 511 511
7283 464 464
7290 471 471
4074 510 510
4072 512 512
7276 457 457
7283 464 464
4073 511 511
4071 513 513
7269 445 445
7276 457 457
4072 512 512
4070 491 491
7262 442 442
7269 445 445
4071 513 513
7311 514 514
7312 515 515
7319 516 516
7318 517 517
7312 515 515
7313 518 518
7320 519 519
7319 516 516
7313 518 518
7314 520 520
7321 521 521
7320 519 519
7314 520 520
7315 522 522
7322 523 523
7321 521 521
7315 522 522
7316 524 524
7323 525 525
7322 523 523
7316 524 524
7317 526 526
7324 527 527
7323 525 525
7318 517 517
7319 516 516
7326 528 528
7325 529 529
7319 516 516
7320 519 519
7327 530 530
7326 528 528
7320 519 519
7321 521 521
7328 531 531
7327 530 530
7321 521 521
7322 523 523
7329 532 532
7328 531 531
7322 523 523
7323 525 525
7330 533 533
7329 532 532
7323 525 525
7324 527 527
7331 534 534
7330 533 533
7325 529 529
7326 528 528
7333 535 535
7332 536 536
7326 528 528
7327 530 530
7334 537 537
7333 535 535
7327 530 530
7328 531 531
7335 538 538
7334 537 537
7328 531 531
7329 532 532
7336 539 539
7335 538 538
7329 532 532
7330 533 533
7337 540 540
7336 539 539
7330 533 533
7331 534 534
7338 541 541
7337 540 540
7332 536 536
7333 535 535
7340 542 542
7339 543 543
7333 535 535
7334 537 537
7341 544 544
7340 542 542
7334 537 537
7335 538 538
7342 545 545
7341 544 544
7335 538 538
7336 539 539
7343 546 546
7342 545 545
7336 539 539
7337 540 540
7344 547 547
7343 546 546
7337 540 540
7338 541 541
7345 548 548
7344 547 547
7339 543 543
7340 542 542
7347 549 549
7346 550 550
7340 542 542
7341 544 544
7348 551 551
7347 549 549
7341 544 544
7342 545 545
7349 552 552
7348 551 551
7342 545 545
7343 546 546
7350 553 553
7349 552 552
7343 546 546
7344 547 547
7351 554 554
7350 553 553
7344 547 547
7345 548 548
7352 555 555
7351 554 554
7346 550 550
7347 549 549
7354 556 556
7353 557 557
7347 549 549
7348 551 551
7355 558 558
7354 556 556
7348 551 551
7349 552 552
7356 559 559
7355 558 558
7349 552 552
7350 553 553
7357 560 560
7356 559 559
7350 553 553
7351 554 554
7358 561 561
7357 560 560
7351 554 554
7352 555 555
7359 562 562
7358 561 561
164 508 508
2298 506 506
7311 514 514
4035 563 563
2298 506 506
2297 505 505
7312 515 515
7311 514 514
2297 505 505
2296 504 504
7313 518 518
7312 515 515
2296 504 504
2295 503 503
7314 520 520
7313 518 518
2295 503 503
2294 502 502
7315 522 522
7314 520 520
2294 502 502
2293 501 501
7316 524 524
7315 522 522
2293 501 501
2292 500 500
7317 526 526
7316 524 524
2292 500 500
16 499 499
646 564 564
7317 526 526
7317 526 526
646 564 564
645 565 565
7324 527 527
7324 527 527
645 565 565
644 566 566
7331 534 534
7331 534 534
644 566 566
643 567 567
7338 541 541
7338 541 541
643 567 567
642 568 568
7345 548 548
7345 548 548
642 568 568
641 569 569
7352 555 555
7352 555 555
641 569 569
640 570 570
7359 562 562
7359 562 562
640 570 570
18 571 571
2327 572 572
7358 561 561
7359 562 562
2327 572 572
2328 573 573
7357 560 560
7358 561 561
2328 573 573
2329 574 574
7356 559 559
7357 560 560
2329 574 574
2330 575 575
7355 558 558
7356 559 559
2330 575 575
2331 576 576
7354 556 556
7355 558 558
